"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"3793","Andrea Arlene Anderson (-Bolder)","F","22.0","164.0","61.0","United States","USA","2000 Summer","2000","Summer","Sydney","Athletics","Athletics Women's 4 x 400 metres Relay","Gold"
"3799","Charles Howard Anderson","M","33.0","","","United States","USA","1948 Summer","1948","Summer","London","Equestrianism","Equestrianism Men's Three-Day Event, Team","Gold"
"3815","Gary Lee Anderson","M","25.0","183.0","77.0","United States","USA","1964 Summer","1964","Summer","Tokyo","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres","Gold"
"3815","Gary Lee Anderson","M","29.0","183.0","77.0","United States","USA","1968 Summer","1968","Summer","Mexico City","Shooting","Shooting Mixed Free Rifle, Three Positions, 300 metres","Gold"
"3823","Jamie Louise Anderson","F","23.0","160.0","54.0","United States","USA","2014 Winter","2014","Winter","Sochi","Snowboarding","Snowboarding Women's Slopestyle","Gold"
"3828","John Franklin Anderson","M","25.0","191.0","97.0","United States","USA","1932 Summer","1932","Summer","Los Angeles","Athletics","Athletics Men's Discus Throw","Gold"
"3854","Paul Edward Anderson","M","24.0","178.0","141.0","United States","USA","1956 Summer","1956","Summer","Melbourne","Weightlifting","Weightlifting Men's Heavyweight","Gold"
"4165","Theresa Andrews","F","21.0","167.0","62.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Swimming","Swimming Women's 100 metres Backstroke","Gold"
"4165","Theresa Andrews","F","21.0","167.0","62.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"4340","Kurt Steven Angle","M","27.0","178.0","100.0","United States","USA","1996 Summer","1996","Summer","Atlanta","Wrestling","Wrestling Men's Heavyweight, Freestyle","Gold"
"4505","Carmelo Kyan Anthony","M","24.0","203.0","109.0","United States","USA","2008 Summer","2008","Summer","Beijing","Basketball","Basketball Men's Basketball","Gold"
"4505","Carmelo Kyan Anthony","M","28.0","203.0","109.0","United States","USA","2012 Summer","2012","Summer","London","Basketball","Basketball Men's Basketball","Gold"
"4505","Carmelo Kyan Anthony","M","32.0","203.0","109.0","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Basketball","Basketball Men's Basketball","Gold"
"5027","Edwin Yancey ""Eddie"" Argo","M","36.0","","","United States","USA","1932 Summer","1932","Summer","Los Angeles","Equestrianism","Equestrianism Men's Three-Day Event, Team","Gold"
"5058","Marcus Mills Pomeroy ""Mark"" Arie","M","38.0","","","United States","USA","1920 Summer","1920","Summer","Antwerpen","Shooting","Shooting Men's Trap","Gold"
"5058","Marcus Mills Pomeroy ""Mark"" Arie","M","38.0","","","United States","USA","1920 Summer","1920","Summer","Antwerpen","Shooting","Shooting Men's Trap, Team","Gold"
"5149","Raymond Richard ""Ray"" Armstead","M","24.0","187.0","76.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"5152","Elizabeth ""Betsey"" Armstrong","F","29.0","188.0","77.0","United States","USA","2012 Summer","2012","Summer","London","Water Polo","Water Polo Women's Water Polo","Gold"
"5153","Charles Ewing Armstrong","M","22.0","","","Vesper Boat Club","USA","1904 Summer","1904","Summer","St. Louis","Rowing","Rowing Men's Coxed Eights","Gold"
"5156","Debra Rae ""Debbie"" Armstrong","F","20.0","165.0","62.0","United States","USA","1984 Winter","1984","Winter","Sarajevo","Alpine Skiing","Alpine Skiing Women's Giant Slalom","Gold"
"5167","Kristin Ann Armstrong (-Savola)","F","34.0","173.0","58.0","United States","USA","2008 Summer","2008","Summer","Beijing","Cycling","Cycling Women's Individual Time Trial","Gold"
"5167","Kristin Ann Armstrong (-Savola)","F","38.0","173.0","58.0","United States","USA","2012 Summer","2012","Summer","London","Cycling","Cycling Women's Individual Time Trial","Gold"
"5167","Kristin Ann Armstrong (-Savola)","F","42.0","173.0","58.0","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Cycling","Cycling Women's Individual Time Trial","Gold"
"5173","Michel Taylor ""Tate"" Armstrong","M","20.0","190.0","77.0","United States","USA","1976 Summer","1976","Summer","Montreal","Basketball","Basketball Men's Basketball","Gold"
"5212","Jay Joseph Hoyland Arnette","M","21.0","188.0","79.0","United States","USA","1960 Summer","1960","Summer","Roma","Basketball","Basketball Men's Basketball","Gold"
"5331","Samantha ""Sam"" Arsenault (-Livingstone)","F","18.0","178.0","69.0","United States","USA","2000 Summer","2000","Summer","Sydney","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","Gold"
"5540","Horace Ashenfelter, III","M","29.0","178.0","66.0","United States","USA","1952 Summer","1952","Summer","Helsinki","Athletics","Athletics Men's 3,000 metres Steeplechase","Gold"
"5547","Evelyn Ashford (-Washington)","F","27.0","165.0","52.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Athletics","Athletics Women's 100 metres","Gold"
"5547","Evelyn Ashford (-Washington)","F","27.0","165.0","52.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"5547","Evelyn Ashford (-Washington)","F","31.0","165.0","52.0","United States","USA","1988 Summer","1988","Summer","Seoul","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"5547","Evelyn Ashford (-Washington)","F","35.0","165.0","52.0","United States","USA","1992 Summer","1992","Summer","Barcelona","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"5578","Gerald Howard ""Gerry"" Ashworth","M","22.0","180.0","75.0","United States","USA","1964 Summer","1964","Summer","Tokyo","Athletics","Athletics Men's 4 x 100 metres Relay","Gold"
"5882","Susanne Jean ""Susie"" Atwood","F","19.0","170.0","66.0","United States","USA","1972 Summer","1972","Summer","Munich","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"5971","Seimone Delicia Augustus","F","24.0","183.0","74.0","United States","USA","2008 Summer","2008","Summer","Beijing","Basketball","Basketball Women's Basketball","Gold"
"5971","Seimone Delicia Augustus","F","28.0","183.0","74.0","United States","USA","2012 Summer","2012","Summer","London","Basketball","Basketball Women's Basketball","Gold"
"5971","Seimone Delicia Augustus","F","32.0","183.0","74.0","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Basketball","Basketball Women's Basketball","Gold"
"6025","Charles Allen Austin","M","28.0","183.0","77.0","United States","USA","1996 Summer","1996","Summer","Atlanta","Athletics","Athletics Men's High Jump","Gold"
"6030","Michael MacKay ""Mike"" Austin","M","21.0","185.0","85.0","United States","USA","1964 Summer","1964","Summer","Tokyo","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Gold"
"6185","Charles Sumner Axtell","M","49.0","","","United States","USA","1908 Summer","1908","Summer","London","Shooting","Shooting Men's Free Pistol, 50 yards, Team","Gold"
"6270","Arthur DeLancey ""Dan"" Ayrault, Jr.","M","21.0","193.0","86.0","United States","USA","1956 Summer","1956","Summer","Melbourne","Rowing","Rowing Men's Coxed Pairs","Gold"
"6270","Arthur DeLancey ""Dan"" Ayrault, Jr.","M","25.0","193.0","86.0","United States","USA","1960 Summer","1960","Summer","Roma","Rowing","Rowing Men's Coxless Fours","Gold"
"6366","Jennifer Lynn Azzi","F","27.0","172.0","64.0","United States","USA","1996 Summer","1996","Summer","Atlanta","Basketball","Basketball Women's Basketball","Gold"
"6429","Jack Babashoff, Jr.","M","21.0","191.0","84.0","United States","USA","1976 Summer","1976","Summer","Montreal","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Gold"
"6430","Shirley Frances Babashoff","F","15.0","178.0","67.0","United States","USA","1972 Summer","1972","Summer","Munich","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Gold"
"6430","Shirley Frances Babashoff","F","15.0","178.0","67.0","United States","USA","1972 Summer","1972","Summer","Munich","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"6430","Shirley Frances Babashoff","F","19.0","178.0","67.0","United States","USA","1976 Summer","1976","Summer","Montreal","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Gold"
"6436","Kristen Elizabeth Babb-Sprague","F","23.0","178.0","58.0","United States","USA","1992 Summer","1992","Summer","Barcelona","Synchronized Swimming","Synchronized Swimming Women's Solo","Gold"
"6440","Henry Stoddard ""Harry"" Babcock","M","21.0","188.0","75.0","United States","USA","1912 Summer","1912","Summer","Stockholm","Athletics","Athletics Men's Pole Vault","Gold"
"6448","Alonzo Carl Babers","M","22.0","188.0","70.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Athletics","Athletics Men's 400 metres","Gold"
"6448","Alonzo Carl Babers","M","22.0","188.0","70.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"6617","Charles James Bacon, Jr.","M","23.0","183.0","77.0","United States","USA","1908 Summer","1908","Summer","London","Athletics","Athletics Men's 400 metres Hurdles","Gold"
"6878","Margaret Ann Bailes (Johnson-)","F","17.0","170.0","65.0","United States","USA","1968 Summer","1968","Summer","Mexico City","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"6887","Christina ""Chris"" Bailey","F","26.0","167.0","73.0","United States","USA","1998 Winter","1998","Winter","Nagano","Ice Hockey","Ice Hockey Women's Ice Hockey","Gold"
"6893","Henry Marvin Bailey","M","31.0","170.0","","United States","USA","1924 Summer","1924","Summer","Paris","Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Gold"
"6944","George Hetzel Baird","M","21.0","175.0","66.0","United States","USA","1928 Summer","1928","Summer","Amsterdam","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"7011","Wiliam Robert ""Bill"" Baker","M","23.0","185.0","89.0","United States","USA","1980 Winter","1980","Winter","Lake Placid","Ice Hockey","Ice Hockey Men's Ice Hockey","Gold"
"7020","Kathleen Baker","F","19.0","173.0","68.0","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"7021","Keshia Chantay Baker (-Kirtz)","F","24.0","170.0","62.0","United States","USA","2012 Summer","2012","Summer","London","Athletics","Athletics Women's 4 x 400 metres Relay","Gold"
"7022","Laurie Baker (-Mutch)","F","21.0","170.0","61.0","United States","USA","1998 Winter","1998","Winter","Nagano","Ice Hockey","Ice Hockey Women's Ice Hockey","Gold"
"7038","Walter Thane Baker","M","25.0","183.0","72.0","United States","USA","1956 Summer","1956","Summer","Melbourne","Athletics","Athletics Men's 4 x 100 metres Relay","Gold"
"7040","Vincent Lamont ""Vin"" Baker","M","28.0","207.0","109.0","United States","USA","2000 Summer","2000","Summer","Sydney","Basketball","Basketball Men's Basketball","Gold"
"7068","Jill Bakken (-Linder)","F","25.0","167.0","65.0","United States-2","USA","2002 Winter","2002","Winter","Salt Lake City","Bobsleigh","Bobsleigh Women's Two","Gold"
"7278","Catherine Northcutt ""Catie"" Ball (-Condon)","F","17.0","170.0","58.0","United States","USA","1968 Summer","1968","Summer","Mexico City","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"7283","Lloy James Ball","M","36.0","203.0","95.0","United States","USA","2008 Summer","2008","Summer","Beijing","Volleyball","Volleyball Men's Volleyball","Gold"
"7396","Samuel J. ""Sam"" Balter, Jr.","M","26.0","178.0","68.0","United States","USA","1936 Summer","1936","Summer","Berlin","Basketball","Basketball Men's Basketball","Gold"
"7446","Edward Joseph ""Ed"" Banach","M","24.0","177.0","90.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Gold"
"7447","Lou David Banach","M","24.0","183.0","95.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Wrestling","Wrestling Men's Heavyweight, Freestyle","Gold"
"7784","Raymond James ""Ray"" Barbuti","M","22.0","183.0","82.0","United States","USA","1928 Summer","1928","Summer","Amsterdam","Athletics","Athletics Men's 400 metres","Gold"
"7784","Raymond James ""Ray"" Barbuti","M","22.0","183.0","82.0","United States","USA","1928 Summer","1928","Summer","Amsterdam","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"7881","Clifford Eugene ""Cliff"" Barker","M","27.0","188.0","84.0","United States","USA","1948 Summer","1948","Summer","London","Basketball","Basketball Men's Basketball","Gold"
"7901","Charles Wade Barkley","M","29.0","198.0","114.0","United States","USA","1992 Summer","1992","Summer","Barcelona","Basketball","Basketball Men's Basketball","Gold"
"7901","Charles Wade Barkley","M","33.0","198.0","114.0","United States","USA","1996 Summer","1996","Summer","Atlanta","Basketball","Basketball Men's Basketball","Gold"
"7903","Jane Louise Barkman (-Brown)","F","17.0","169.0","61.0","United States","USA","1968 Summer","1968","Summer","Mexico City","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Gold"
"7903","Jane Louise Barkman (-Brown)","F","20.0","169.0","61.0","United States","USA","1972 Summer","1972","Summer","Munich","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Gold"
"7908","Donald Argee ""Don"" Barksdale","M","25.0","198.0","91.0","United States","USA","1948 Summer","1948","Summer","London","Basketball","Basketball Men's Basketball","Gold"
"7956","Harrison Bryce Jordan Barnes","M","24.0","203.0","102.0","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Basketball","Basketball Men's Basketball","Gold"
"7958","Velvet James ""Jim"" Barnes","M","23.0","201.0","109.0","United States","USA","1964 Summer","1964","Summer","Tokyo","Basketball","Basketball Men's Basketball","Gold"
"7963","Lee Stratford Barnes, Jr.","M","17.0","173.0","68.0","United States","USA","1924 Summer","1924","Summer","Paris","Athletics","Athletics Men's Pole Vault","Gold"
"7968","Eric Randolph ""Randy"" Barnes","M","30.0","195.0","132.0","United States","USA","1996 Summer","1996","Summer","Atlanta","Athletics","Athletics Men's Shot Put","Gold"
"8104","Michael Thomas ""Mike"" Barrett","M","25.0","188.0","73.0","United States","USA","1968 Summer","1968","Summer","Mexico City","Basketball","Basketball Men's Basketball","Gold"
"8106","Peter Jones Barrett","M","33.0","184.0","88.0","United States","USA","1968 Summer","1968","Summer","Mexico City","Sailing","Sailing Mixed Two Person Keelboat","Gold"
"8171","Michael Ray ""Mike"" Barrowman","M","23.0","180.0","75.0","United States","USA","1992 Summer","1992","Summer","Barcelona","Swimming","Swimming Men's 200 metres Breaststroke","Gold"
"8174","Jack Leonard ""Jay"" Barrs, Jr.","M","26.0","182.0","70.0","United States","USA","1988 Summer","1988","Summer","Seoul","Archery","Archery Men's Individual","Gold"
"8246","Carmine R. ""Carmen"" Barth (DiBartolomeo-)","M","19.0","175.0","72.0","United States","USA","1932 Summer","1932","Summer","Los Angeles","Boxing","Boxing Men's Middleweight","Gold"
"8330","Gregory Mark ""Greg"" Barton","M","28.0","180.0","79.0","United States","USA","1988 Summer","1988","Summer","Seoul","Canoeing","Canoeing Men's Kayak Singles, 1,000 metres","Gold"
"8330","Gregory Mark ""Greg"" Barton","M","28.0","180.0","79.0","United States","USA","1988 Summer","1988","Summer","Seoul","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Gold"
"8474","Raymond Henry ""Benny"" Bass","M","22.0","167.0","59.0","United States","USA","1932 Summer","1932","Summer","Los Angeles","Gymnastics","Gymnastics Men's Rope Climbing","Gold"
"8488","Lanny Robert Bassham","M","29.0","175.0","73.0","United States","USA","1976 Summer","1976","Summer","Montreal","Shooting","Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres","Gold"
"8720","Sybil Lorina Bauer","F","20.0","","","United States","USA","1924 Summer","1924","Summer","Paris","Swimming","Swimming Women's 100 metres Backstroke","Gold"
"8793","Bruce Robert Baumgartner","M","23.0","188.0","130.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle","Gold"
"8793","Bruce Robert Baumgartner","M","31.0","188.0","130.0","United States","USA","1992 Summer","1992","Summer","Barcelona","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle","Gold"
"8820","James Aloysius Bernard ""Jim"" Bausch","M","26.0","188.0","95.0","United States","USA","1932 Summer","1932","Summer","Los Angeles","Athletics","Athletics Men's Decathlon","Gold"
"8862","Irving Knott ""Irv"" Baxter","M","24.0","","","United States","USA","1900 Summer","1900","Summer","Paris","Athletics","Athletics Men's High Jump","Gold"
"8862","Irving Knott ""Irv"" Baxter","M","24.0","","","United States","USA","1900 Summer","1900","Summer","Paris","Athletics","Athletics Men's Pole Vault","Gold"
"9026","Robert ""Bob"" Beamon","M","22.0","191.0","70.0","United States","USA","1968 Summer","1968","Summer","Mexico City","Athletics","Athletics Men's Long Jump","Gold"
"9034","Amanda Ray Beard (-Brown)","F","14.0","173.0","59.0","United States","USA","1996 Summer","1996","Summer","Atlanta","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"9034","Amanda Ray Beard (-Brown)","F","22.0","173.0","59.0","United States","USA","2004 Summer","2004","Summer","Athina","Swimming","Swimming Women's 200 metres Breaststroke","Gold"
"9035","Elizabeth Ann ""Betsy"" Beard (-Stillings)","F","22.0","155.0","42.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Rowing","Rowing Women's Coxed Eights","Gold"
"9039","Ralph Milton Beard, Jr.","M","20.0","178.0","79.0","United States","USA","1948 Summer","1948","Summer","London","Basketball","Basketball Men's Basketball","Gold"
"9178","Lewis William ""Lew"" Beck, Jr.","M","26.0","183.0","75.0","United States","USA","1948 Summer","1948","Summer","London","Basketball","Basketball Men's Basketball","Gold"
"9225","Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)","F","21.0","155.0","","United States","USA","1924 Summer","1924","Summer","Paris","Diving","Diving Women's Springboard","Gold"
"9225","Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)","F","25.0","155.0","","United States","USA","1928 Summer","1928","Summer","Amsterdam","Diving","Diving Women's Platform","Gold"
"9242","William Russell Becklean","M","20.0","172.0","57.0","United States","USA","1956 Summer","1956","Summer","Melbourne","Rowing","Rowing Men's Coxed Eights","Gold"
"9291","Barbara Jane ""B. J."" Bedford (-Miller)","F","27.0","172.0","61.0","United States","USA","2000 Summer","2000","Summer","Sydney","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"9339","Donald Anton Eilers ""Don"" Beer","M","21.0","195.0","88.0","United States","USA","1956 Summer","1956","Summer","Melbourne","Rowing","Rowing Men's Coxed Eights","Gold"
"9355","Daniel ""Dan"" Beery","M","29.0","200.0","97.0","United States","USA","2004 Summer","2004","Summer","Athina","Rowing","Rowing Men's Coxed Eights","Gold"
"9638","Gregory Curtis ""Greg"" Bell","M","26.0","174.0","68.0","United States","USA","1956 Summer","1956","Summer","Melbourne","Athletics","Athletics Men's Long Jump","Gold"
"9670","Walter Jones ""Walt"" Bellamy, Jr.","M","23.0","211.0","98.0","United States","USA","1960 Summer","1960","Summer","Roma","Basketball","Basketball Men's Basketball","Gold"
"9696","Norman Dean ""Norm"" Bellingham","M","23.0","193.0","92.0","United States","USA","1988 Summer","1988","Summer","Seoul","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Gold"
"9770","Melissa Louise Belote (-Hamlin, -Ripley)","F","15.0","171.0","60.0","United States","USA","1972 Summer","1972","Summer","Munich","Swimming","Swimming Women's 100 metres Backstroke","Gold"
"9770","Melissa Louise Belote (-Hamlin, -Ripley)","F","15.0","171.0","60.0","United States","USA","1972 Summer","1972","Summer","Munich","Swimming","Swimming Women's 200 metres Backstroke","Gold"
"9770","Melissa Louise Belote (-Hamlin, -Ripley)","F","15.0","171.0","60.0","United States","USA","1972 Summer","1972","Summer","Munich","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"10023","Charles Sumner Benedict","M","40.0","","","United States","USA","1908 Summer","1908","Summer","London","Shooting","Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team","Gold"
"10136","Lindsay Dianne Benko (-Mintenko)","F","23.0","185.0","74.0","United States","USA","2000 Summer","2000","Summer","Sydney","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","Gold"
"10136","Lindsay Dianne Benko (-Mintenko)","F","27.0","185.0","74.0","United States","USA","2004 Summer","2004","Summer","Athina","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","Gold"
"10149","Huelet Leo ""Joe"" Benner","M","34.0","178.0","100.0","United States","USA","1952 Summer","1952","Summer","Helsinki","Shooting","Shooting Men's Free Pistol, 50 metres","Gold"
"10157","Robert Earl ""Bob"" Bennett","M","17.0","183.0","78.0","United States","USA","1960 Summer","1960","Summer","Roma","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Gold"
"10157","Robert Earl ""Bob"" Bennett","M","21.0","183.0","78.0","United States","USA","1964 Summer","1964","Summer","Tokyo","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Gold"
"10160","Brooke Marie Bennett (-Frioud)","F","16.0","165.0","57.0","United States","USA","1996 Summer","1996","Summer","Atlanta","Swimming","Swimming Women's 800 metres Freestyle","Gold"
"10160","Brooke Marie Bennett (-Frioud)","F","20.0","165.0","57.0","United States","USA","2000 Summer","2000","Summer","Sydney","Swimming","Swimming Women's 400 metres Freestyle","Gold"
"10160","Brooke Marie Bennett (-Frioud)","F","20.0","165.0","57.0","United States","USA","2000 Summer","2000","Summer","Sydney","Swimming","Swimming Women's 800 metres Freestyle","Gold"
"10198","Joan Benoit (-Samuelson)","F","27.0","157.0","46.0","United States","USA","1984 Summer","1984","Summer","Los Angeles","Athletics","Athletics Women's Marathon","Gold"
